"parameter_id","control","variable","variable_type","typical_unit"
"CAP-01","Capital","Opening common equity","State","Currency"
"CAP-02","Capital","Retained earnings","State","Currency"
"CAP-03","Capital","Additional paid-in capital","State","Currency"
"CAP-04","Capital","Regulatory or statutory capital, where applicable","State","Currency / ratio"
"CAP-05","Capital","General and specific reserves","State","Currency"
"CAP-06","Capital","Subordinated and loss-absorbing debt","State","Currency"
"CAP-07","Capital","Total debt outstanding","State","Currency"
"CAP-08","Capital","Debt maturity profile","State","Currency by period"
"CAP-09","Capital","Leverage ratio","State","Ratio"
"CAP-10","Capital","Covenant headroom","State","Currency / ratio"
"CAP-11","Capital","Risk-weighted or economic-capital exposure","State","Currency"
"CAP-12","Capital","Asset impairment rate","Shock","%"
"CAP-13","Capital","Credit-loss severity","Shock","% / currency"
"CAP-14","Capital","Market-value or valuation haircut","Shock","%"
"CAP-15","Capital","Intangible or goodwill impairment","Shock","Currency / %"
"CAP-16","Capital","Operational-loss charge","Shock","Currency"
"CAP-17","Capital","Regulatory fine or legal-loss charge","Shock","Currency"
"CAP-18","Capital","Tax-loss and deferred-tax recognition","Behaviour","Currency / %"
"CAP-19","Capital","Earnings generation rate","Behaviour","Currency per period"
"CAP-20","Capital","Dividend and distribution rate","Intervention","% / currency"
"CAP-21","Capital","Share buyback or capital-return rate","Intervention","Currency"
"CAP-22","Capital","New equity injection","Intervention","Currency / date"
"CAP-23","Capital","Debt-to-equity conversion","Intervention","Currency / %"
"CAP-24","Capital","Asset disposal proceeds and disposal haircut","Intervention","Currency / %"
"CAP-25","Capital","Cost reduction retained as capital","Intervention","Currency per period"
"CAP-26","Capital","Capital regeneration rate","Behaviour","Currency per period"
"CAP-27","Capital","Target capital buffer","Intervention","Currency / ratio"
"CAP-28","Capital","Capital-action execution delay","Behaviour","Days"
"LIQ-01","Liquidity","Opening unrestricted cash","State","Currency"
"LIQ-02","Liquidity","Restricted or trapped cash","State","Currency"
"LIQ-03","Liquidity","Cash by legal entity, bank and currency","State","Currency"
"LIQ-04","Liquidity","Minimum operating cash requirement","State","Currency"
"LIQ-05","Liquidity","Daily customer or merchant inflows","Behaviour","Currency per day"
"LIQ-06","Liquidity","Daily operating outflows","Behaviour","Currency per day"
"LIQ-07","Liquidity","Receivable collection rate","Behaviour","% / days"
"LIQ-08","Liquidity","Payable timing and payment deferral","Behaviour / intervention","Days / %"
"LIQ-09","Liquidity","Settlement inflow delay","Shock","Hours / days"
"LIQ-10","Liquidity","Settlement outflow acceleration","Shock","Hours / days"
"LIQ-11","Liquidity","Deposit, customer-balance or merchant-balance runoff","Shock","%"
"LIQ-12","Liquidity","Refund and chargeback cash demand","Shock","Currency / %"
"LIQ-13","Liquidity","Margin-call and collateral demand","Shock","Currency"
"LIQ-14","Liquidity","Debt-service requirement","State","Currency by period"
"LIQ-15","Liquidity","Intraday liquidity requirement","Behaviour","Currency"
"LIQ-16","Liquidity","Liquidity reserve size","State / intervention","Currency"
"LIQ-17","Liquidity","Committed credit-facility capacity","State","Currency"
"LIQ-18","Liquidity","Undrawn funding availability","State","Currency"
"LIQ-19","Liquidity","Funding drawdown amount","Intervention","Currency"
"LIQ-20","Liquidity","Funding drawdown delay","Behaviour","Hours / days"
"LIQ-21","Liquidity","Funding interest rate and spread","Shock","Basis points"
"LIQ-22","Liquidity","Refinancing availability","Shock","% / binary"
"LIQ-23","Liquidity","Collateral availability","State","Currency"
"LIQ-24","Liquidity","Collateral haircut","Shock","%"
"LIQ-25","Liquidity","Asset monetisation capacity","Intervention","Currency per day"
"LIQ-26","Liquidity","Asset-sale settlement delay","Behaviour","Days"
"LIQ-27","Liquidity","FX liquidity requirement","Shock","Currency by denomination"
"LIQ-28","Liquidity","Currency-conversion availability","Shock","% / binary"
"LIQ-29","Liquidity","Emergency funding injection","Intervention","Currency / date"
"LIQ-30","Liquidity","Cash-pooling and intercompany-transfer capacity","Intervention","Currency / %"
"LIQ-31","Liquidity","Liquidity survival threshold","State","Days"
"LIQ-32","Liquidity","Contingency funding-plan activation point","Intervention","Ratio / date"
"OPS-01","Operations","Normal processing capacity","State","Transactions per period"
"OPS-02","Operations","Available capacity under stress","Shock","%"
"OPS-03","Operations","Transaction arrival rate","Behaviour","Transactions per second"
"OPS-04","Operations","Peak-load multiplier","Shock","Multiple"
"OPS-05","Operations","Processing latency","State / shock","Milliseconds / hours"
"OPS-06","Operations","Transaction error or failure rate","Shock","%"
"OPS-07","Operations","Backlog size","State","Transactions / currency"
"OPS-08","Operations","Backlog clearance rate","Intervention","Transactions per period"
"OPS-09","Operations","Critical-system availability","State / shock","%"
"OPS-10","Operations","System outage duration","Shock","Minutes / hours"
"OPS-11","Operations","Recovery time objective","State","Hours"
"OPS-12","Operations","Recovery point objective and data-loss window","State","Minutes / hours"
"OPS-13","Operations","Failover success probability","Behaviour","%"
"OPS-14","Operations","Redundant capacity","State / intervention","%"
"OPS-15","Operations","Infrastructure scaling rate and delay","Intervention","Capacity / minutes"
"OPS-16","Operations","Network, cloud or data-centre degradation","Shock","%"
"OPS-17","Operations","Cyberattack intensity","Shock","Index"
"OPS-18","Operations","Cyber-control effectiveness","State / intervention","%"
"OPS-19","Operations","Fraud-control availability","State / shock","%"
"OPS-20","Operations","Data completeness","State / shock","%"
"OPS-21","Operations","Data accuracy and integrity","State / shock","%"
"OPS-22","Operations","Data-feed delay","Shock","Minutes / hours"
"OPS-23","Operations","Reconciliation break rate","Shock","% / count"
"OPS-24","Operations","Reconciliation clearance time","Behaviour / intervention","Hours"
"OPS-25","Operations","Manual-processing capacity","State / intervention","Cases per day"
"OPS-26","Operations","Workforce availability","Shock","%"
"OPS-27","Operations","Workforce productivity","Behaviour","%"
"OPS-28","Operations","Key-person dependency","State","Concentration index"
"OPS-29","Operations","Facility availability","Shock","%"
"OPS-30","Operations","Power and telecommunications availability","Shock","%"
"OPS-31","Operations","Critical supplier availability","Shock","%"
"OPS-32","Operations","Third-party service degradation","Shock","%"
"OPS-33","Operations","Third-party recovery time","Behaviour","Hours / days"
"OPS-34","Operations","Inventory or critical-resource cover","State","Days"
"OPS-35","Operations","Business-continuity-plan effectiveness","State / intervention","%"
"OPS-36","Operations","Incident detection time","Behaviour","Minutes / hours"
"OPS-37","Operations","Incident containment time","Behaviour / intervention","Hours"
"OPS-38","Operations","Crisis decision and escalation delay","Behaviour","Minutes / hours"
"OPS-39","Operations","Recovery-resource allocation","Intervention","People / currency / capacity"
"OPS-40","Operations","Physical hazard or extreme-weather disruption","Shock","Severity / duration"
"REG-01","Regulation","Applicable jurisdictions and regulatory regimes","State","Set / count"
"REG-02","Regulation","Licence status and permitted activities","State / shock","Category / binary"
"REG-03","Regulation","New-rule effective date","Shock","Date"
"REG-04","Regulation","Regulatory transition period","Shock","Days / months"
"REG-05","Regulation","Minimum capital requirement","Shock","Currency / ratio"
"REG-06","Regulation","Minimum liquidity requirement","Shock","Currency / ratio"
"REG-07","Regulation","Reserve, safeguarding or segregation requirement","Shock","% / currency"
"REG-08","Regulation","Customer due-diligence threshold","Shock","Currency / risk score"
"REG-09","Regulation","Enhanced due-diligence rate","Shock","%"
"REG-10","Regulation","AML transaction-monitoring sensitivity","State / intervention","Threshold / score"
"REG-11","Regulation","Sanctions-screening sensitivity","State / intervention","Threshold / score"
"REG-12","Regulation","Sanctions, embargo or restricted-party scope","Shock","Set / severity"
"REG-13","Regulation","Suspicious-activity reporting threshold","Shock","Score / currency"
"REG-14","Regulation","Regulatory reporting frequency and deadline","Shock","Days / frequency"
"REG-15","Regulation","Data-retention period","Shock","Months / years"
"REG-16","Regulation","Data-localisation requirement","Shock","% / binary"
"REG-17","Regulation","Privacy and consent restriction","Shock","Severity / category"
"REG-18","Regulation","Consumer-protection obligation","Shock","Severity / cost"
"REG-19","Regulation","Pricing, interchange or fee cap","Shock","% / currency"
"REG-20","Regulation","Tax rate, withholding tax and digital levy","Shock","%"
"REG-21","Regulation","Tariff or customs obligation","Shock","% / currency"
"REG-22","Regulation","Regulatory review or approval delay","Behaviour","Days"
"REG-23","Regulation","Examination or enforcement probability","Behaviour","%"
"REG-24","Regulation","Fine and penalty severity","Shock","Currency / %"
"REG-25","Regulation","Remediation cost","Intervention","Currency"
"REG-26","Regulation","Compliance staffing and capacity","Intervention","FTE / cases per day"
"REG-27","Regulation","Compliance-control effectiveness","State / intervention","%"
"REG-28","Regulation","Legal interpretation uncertainty","Behaviour","Confidence / range"
"REG-29","Regulation","Regulatory divergence between jurisdictions","Shock","Index"
"REG-30","Regulation","Reporting, licence or control breach tolerance","Intervention","Threshold"
"REG-31","Regulation","Regulatory-capital or activity restriction","Shock","% / binary"
