origin_code,origin,destination_code,destination,origin_currency,destination_currency,priority,risk_dimensions
IN,India,GB,United Kingdom,INR,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,SG,Singapore,INR,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,US,United States,INR,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,AE,United Arab Emirates,INR,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,SA,Saudi Arabia,INR,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,DE,Germany / Eurozone,INR,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,NL,Netherlands / Eurozone,INR,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,CH,Switzerland,INR,CHF,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,JP,Japan,INR,JPY,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,HK,Hong Kong,INR,HKD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,AU,Australia,INR,AUD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,CA,Canada,INR,CAD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,BR,Brazil,INR,BRL,HIGH,"FX, cut-off, compliance, settlement, liquidity"
IN,India,ZA,South Africa,INR,ZAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,IN,India,GBP,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,SG,Singapore,GBP,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,US,United States,GBP,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,AE,United Arab Emirates,GBP,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,SA,Saudi Arabia,GBP,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,DE,Germany / Eurozone,GBP,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,NL,Netherlands / Eurozone,GBP,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,CH,Switzerland,GBP,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,JP,Japan,GBP,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,HK,Hong Kong,GBP,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,AU,Australia,GBP,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,CA,Canada,GBP,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
